timestamp,irradiance W_m2
2018-12-01 16:06,5.118499
2018-12-01 16:08,3.477136
2018-12-01 16:10,3.805409
2018-12-01 16:12,4.133681
2018-12-01 16:14,4.461954
2018-12-01 16:16,2.492318
2018-12-01 16:18,5.118499
2018-12-01 16:20,3.805409
2018-12-01 16:22,4.133681
2018-12-01 16:24,2.82059
2018-12-01 16:26,4.133681
2018-12-01 16:28,3.805409
2018-12-01 16:30,3.805409
2018-12-01 16:32,3.805409
2018-12-01 16:34,3.148863
2018-12-01 16:36,2.492318
2018-12-01 16:38,1.507499
2018-12-01 16:40,2.492318
2018-12-01 16:42,2.492318
2018-12-01 16:44,3.148863
2018-12-01 16:46,2.82059
2018-12-01 16:48,2.82059
2018-12-01 16:50,3.148863
2018-12-01 16:52,2.82059
2018-12-01 16:54,3.805409
2018-12-01 16:56,4.133681
2018-12-01 16:58,2.164045
2018-12-01 17:00,0.850954
2018-12-01 17:02,4.790227
2018-12-01 17:04,4.133681
2018-12-01 17:06,3.148863
2018-12-01 17:08,5.118499
2018-12-01 17:10,5.446772
2018-12-01 17:12,5.446772
2018-12-01 17:14,4.461954
2018-12-01 17:16,4.790227
2018-12-01 17:18,3.805409
2018-12-01 17:20,3.148863
2018-12-01 17:22,2.492318
2018-12-01 17:24,5.446772
2018-12-01 17:26,5.118499
2018-12-01 17:28,2.492318
2018-12-01 17:30,3.477136
2018-12-01 17:32,1.507499
2018-12-01 17:34,2.82059
2018-12-01 17:36,2.82059
2018-12-01 17:38,2.492318
2018-12-01 17:40,3.148863
2018-12-01 17:42,3.477136
2018-12-01 17:44,4.461954
2018-12-01 17:46,3.477136
2018-12-01 17:48,4.790227
2018-12-01 17:50,5.118499
2018-12-01 17:52,3.477136
2018-12-01 17:54,4.790227
2018-12-01 17:56,4.461954
2018-12-01 17:58,4.461954
2018-12-01 18:00,5.118499
2018-12-01 18:02,3.477136
2018-12-01 18:04,3.148863
2018-12-01 18:06,3.148863
2018-12-01 18:08,2.164045
2018-12-01 18:10,6.43159
2018-12-01 18:12,3.148863
2018-12-01 18:14,3.477136
2018-12-01 18:16,2.492318
2018-12-01 18:18,4.133681
2018-12-01 18:20,2.82059
2018-12-01 18:22,4.133681
2018-12-01 18:24,3.805409
2018-12-01 18:26,3.805409
2018-12-01 18:28,2.82059
2018-12-01 18:30,4.461954
2018-12-01 18:32,2.82059
2018-12-01 18:34,3.477136
2018-12-01 18:36,3.477136
2018-12-01 18:38,2.492318
2018-12-01 18:40,3.477136
2018-12-01 18:42,2.492318
2018-12-01 18:44,3.805409
2018-12-01 18:46,1.507499
2018-12-01 18:48,3.148863
2018-12-01 18:50,1.835772
2018-12-01 18:52,3.148863
2018-12-01 18:54,3.805409
2018-12-01 18:56,4.461954
2018-12-01 18:58,2.82059
2018-12-01 19:00,2.164045
2018-12-01 19:02,2.164045
2018-12-01 19:04,3.148863
2018-12-01 19:06,3.477136
2018-12-01 19:08,2.492318
2018-12-01 19:10,3.477136
2018-12-01 19:12,3.477136
2018-12-01 19:14,3.477136
2018-12-01 19:16,4.461954
2018-12-01 19:18,4.133681
2018-12-01 19:20,3.805409
2018-12-01 19:22,3.805409
2018-12-01 19:24,1.507499
2018-12-01 19:26,5.118499
2018-12-01 19:28,3.805409
2018-12-01 19:30,4.133681
2018-12-01 19:32,2.492318
2018-12-01 19:34,4.461954
2018-12-01 19:36,3.477136
2018-12-01 19:38,4.133681
2018-12-01 19:40,2.82059
2018-12-01 19:42,3.477136
2018-12-01 19:44,3.805409
2018-12-01 19:46,3.805409
2018-12-01 19:48,3.477136
2018-12-01 19:50,2.492318
2018-12-01 19:52,2.492318
2018-12-01 19:54,2.492318
2018-12-01 19:56,2.82059
2018-12-01 19:58,3.477136
2018-12-01 20:00,2.82059
2018-12-01 20:02,2.492318
2018-12-01 20:04,4.133681
2018-12-01 20:06,4.133681
2018-12-01 20:08,2.82059
2018-12-01 20:10,2.82059
2018-12-01 20:12,3.477136
2018-12-01 20:14,4.133681
2018-12-01 20:16,4.461954
2018-12-01 20:18,3.148863
2018-12-01 20:20,4.790227
2018-12-01 20:22,4.790227
2018-12-01 20:24,3.805409
2018-12-01 20:26,5.446772
2018-12-01 20:28,5.118499
2018-12-01 20:30,5.775045
2018-12-01 20:32,2.82059
2018-12-01 20:34,1.835772
2018-12-01 20:36,3.805409
2018-12-01 20:38,3.477136
2018-12-01 20:40,3.477136
2018-12-01 20:42,3.477136
2018-12-01 20:44,4.133681
2018-12-01 20:46,3.148863
2018-12-01 20:48,4.790227
2018-12-01 20:50,4.461954
2018-12-01 20:52,4.461954
2018-12-01 20:54,3.148863
2018-12-01 20:56,3.477136
2018-12-01 20:58,3.805409
2018-12-01 21:00,3.805409
2018-12-01 21:02,3.148863
2018-12-01 21:04,3.805409
2018-12-01 21:06,4.790227
2018-12-01 21:08,4.461954
2018-12-01 21:10,3.148863
2018-12-01 21:12,4.133681
2018-12-01 21:14,2.164045
2018-12-01 21:16,3.477136
2018-12-01 21:18,4.133681
2018-12-01 21:20,3.148863
2018-12-01 21:22,2.82059
2018-12-01 21:24,2.492318
2018-12-01 21:26,3.148863
2018-12-01 21:28,3.805409
2018-12-01 21:30,2.82059
2018-12-01 21:32,2.82059
2018-12-01 21:34,3.477136
2018-12-01 21:36,4.133681
2018-12-01 21:38,4.461954
2018-12-01 21:40,1.835772
2018-12-01 21:42,2.492318
2018-12-01 21:44,3.148863
2018-12-01 21:46,4.790227
2018-12-01 21:48,3.805409
2018-12-01 21:50,4.461954
2018-12-01 21:52,3.477136
2018-12-01 21:54,4.133681
2018-12-01 21:56,2.82059
2018-12-01 21:58,3.148863
2018-12-01 22:00,3.805409
2018-12-01 22:02,3.805409
2018-12-01 22:04,5.446772
2018-12-01 22:06,3.148863
2018-12-01 22:08,2.164045
2018-12-01 22:10,3.805409
2018-12-01 22:12,4.133681
2018-12-01 22:14,2.492318
2018-12-01 22:16,5.775045
2018-12-01 22:18,3.477136
2018-12-01 22:20,1.179227
2018-12-01 22:22,1.835772
2018-12-01 22:24,3.805409
2018-12-01 22:26,0.522681
2018-12-01 22:28,4.133681
2018-12-01 22:30,4.461954
2018-12-01 22:32,3.477136
2018-12-01 22:34,2.82059
2018-12-01 22:36,3.805409
2018-12-01 22:38,3.805409
2018-12-01 22:40,3.477136
2018-12-01 22:42,4.461954
2018-12-01 22:44,4.461954
2018-12-01 22:46,4.461954
2018-12-01 22:48,4.133681
2018-12-01 22:50,4.461954
2018-12-01 22:52,4.461954
2018-12-01 22:54,2.164045
2018-12-01 22:56,3.148863
2018-12-01 22:58,5.118499
2018-12-01 23:00,2.164045
2018-12-01 23:02,4.461954
2018-12-01 23:04,4.461954
2018-12-01 23:06,4.133681
2018-12-01 23:08,4.461954
2018-12-01 23:10,3.477136
2018-12-01 23:12,4.133681
2018-12-01 23:14,3.477136
